sku,dates,price,qty
10060,10/04/19,2798.0,3
10060,11/04/19,2798.0,2
10060,12/04/19,2798.0,4
10060,13/04/19,2798.0,3
10060,14/04/19,2798.0,1
10060,15/04/19,2821.0,4
10060,16/04/19,2821.0,4
10060,17/04/19,2821.0,4
10060,18/04/19,2821.0,3
10060,19/04/19,2821.0,2
10060,20/04/19,2821.0,3
10060,21/04/19,2821.0,4
10060,22/04/19,2816.0,3
10060,23/04/19,2816.0,4
10060,24/04/19,2816.0,2
10060,25/04/19,2816.0,3
10060,26/04/19,2816.0,4
10060,27/04/19,2816.0,1
10060,28/04/19,2816.0,3
10060,29/04/19,2576.0,5
10060,30/04/19,2576.0,5
10060,01/05/19,2576.0,4
10060,02/05/19,2576.0,4
10060,03/05/19,2576.0,3
10060,04/05/19,2576.0,4
10060,05/05/19,2576.0,5
10060,06/05/19,2553.0,5
10060,07/05/19,2553.0,6
10060,08/05/19,2553.0,6
10060,09/05/19,2553.0,3
10060,10/05/19,2553.0,4
10060,11/05/19,2553.0,3
10060,12/05/19,2553.0,5
10060,13/05/19,2761.0,3
10060,14/05/19,2761.0,3
10060,15/05/19,2761.0,2
10060,16/05/19,2761.0,3
10060,17/05/19,2761.0,3
10060,18/05/19,2761.0,3
10060,19/05/19,2761.0,1
10060,20/05/19,2748.0,2
10060,21/05/19,2748.0,5
10060,22/05/19,2748.0,3
10060,23/05/19,2748.0,4
10060,24/05/19,2748.0,4
10060,25/05/19,2748.0,4
10060,26/05/19,2748.0,3
10060,27/05/19,2818.0,3
10060,28/05/19,2818.0,3
10060,29/05/19,2818.0,3
10060,30/05/19,2818.0,4
10060,31/05/19,2818.0,2
10060,01/06/19,2818.0,2
10060,02/06/19,2818.0,3
10060,03/06/19,2784.0,3
10060,04/06/19,2784.0,4
10060,05/06/19,2784.0,3
10060,06/06/19,2784.0,3
10060,07/06/19,2784.0,3
10060,08/06/19,2784.0,3
10060,09/06/19,2784.0,3
10060,10/06/19,2806.0,5
10060,11/06/19,2806.0,2
10060,12/06/19,2806.0,3
10060,13/06/19,2806.0,4
10060,14/06/19,2806.0,4
10060,15/06/19,2806.0,3
10060,16/06/19,2806.0,3
10060,17/06/19,2828.0,3
10060,18/06/19,2828.0,3
10060,19/06/19,2828.0,3
10060,20/06/19,2828.0,1
10060,21/06/19,2828.0,1
10060,22/06/19,2828.0,2
10060,23/06/19,2828.0,3
10060,24/06/19,2809.0,5
10060,25/06/19,2809.0,4
10060,26/06/19,2809.0,5
10060,27/06/19,2809.0,3
10060,28/06/19,2809.0,2
10060,29/06/19,2809.0,5
10060,30/06/19,2809.0,4
10060,01/07/19,2842.0,5
10060,02/07/19,2842.0,3
